id;nombre;descripcion;precio;precio_gratis;id_catedra
1;easy-going ew hare;though;7132.44;31801.96;4040
2;strictly uniform;out;22506.68;20357.89;16111
3;pish orient;blag;18034.02;20172.72;16096
4;when than brr;when fooey;6947.92;26932.57;6459
5;broadly than than;stem by;24203.04;23666.39;852
6;muck nor;after ew whoever;17609.77;19493.33;5107
7;at and;joint;4257.72;16423.31;2091
8;geez;broadly or hmph;13339.79;9458.42;30107
9;woot;overexertion;5704.31;5573.03;6996
10;enchanted;speed jaggedly good;19902.16;14996.91;7263
