id;codigo;nombre;descripcion;precio_base;moneda;id_catedra
1;furthermore;drawing politicize careful;pointed gratify where;31127.4;ARS;17126
2;rite rabbi apud;now forge despite;righteously hotdog;4642.67;USD;7273
3;unfortunately robe within;reasonable yawningly;less finally hmph;19305.89;BRL;6413
4;bitter mmm;anguished;advance sniveling step-brother;28659.2;BRL;6275
5;lard wherever;impressionable;after gah;8836.3;BRL;13410
6;instantly;dull consequently;via stopwatch to;31799.76;EUR;1303
7;even psst;whoever tulip tout;same yippee ew;14086.86;EUR;15263
8;revival expiate failing;following for;frightening fooey conditioner;18330.38;ARS;18835
9;pepper regarding;oh;plate hence whoever;25692.59;EUR;17975
10;for per orator;fame oof without;or unless down;32239.94;EUR;19858
