id;codigo;nombre;descripcion;precio_adicional;id_catedra
1;entire sweets geez;watchful;script wherever;21692.27;9922
2;cabinet;parchment pitiful;temporary busily;1997.35;26004
3;as;gah gadzooks for;encumber cacao about;19218.95;29108
4;meh loan;plough though;knowingly absent;8029.19;25417
5;among whenever;photosynthesize bravely;minty than unless;14113.67;6735
6;quick sunset;ugh endoderm;attach;6890.69;6562
7;absent meh;radiant;fries;32058.04;10838
8;austere;beautifully bravely fully;hourly unabashedly;9746.46;27963
9;mid;pace wide;reproachfully;18529.73;29605
10;gladly;pish ratio;while;23812.39;1288
